Date,Open,High,Low,Close,Adj Close,Volume
2023-08-01,317.5400085449219,324.1400146484375,314.6600036621094,322.7099914550781,322.7099914550781,22817900
2023-08-02,318.0,318.3900146484375,310.6499938964844,314.30999755859375,314.30999755859375,20461100
2023-08-03,309.92999267578125,315.95001220703125,309.92999267578125,313.19000244140625,313.19000244140625,15180200
2023-08-04,314.9599914550781,318.4100036621094,310.20001220703125,310.7300109863281,310.7300109863281,17600200
2023-08-07,313.2300109863281,317.07000732421875,310.4599914550781,316.55999755859375,316.55999755859375,16236500
2023-08-08,314.3999938964844,317.8900146484375,310.1099853515625,312.6400146484375,312.6400146484375,15183500
2023-08-09,312.8800048828125,313.6300048828125,302.8500061035156,305.2099914550781,305.2099914550781,19955800
2023-08-10,307.94000244140625,312.3399963378906,303.8699951171875,305.739990234375,305.739990234375,14358900
2023-08-11,302.57000732421875,304.7200012207031,300.3599853515625,301.6400146484375,301.6400146484375,13967800
2023-08-14,300.9800109863281,306.2099914550781,298.25,306.19000244140625,306.19000244140625,15641900
2023-08-15,306.1400146484375,307.2300109863281,300.0299987792969,301.95001220703125,301.95001220703125,11623600
2023-08-16,300.20001220703125,301.0799865722656,294.2799987792969,294.2900085449219,294.2900085449219,18547700
2023-08-17,293.04998779296875,296.04998779296875,284.95001220703125,285.0899963378906,285.0899963378906,23950100
2023-08-18,279.0299987792969,285.69000244140625,274.3800048828125,283.25,283.25,34061200
2023-08-21,283.45001220703125,290.5,281.8500061035156,289.8999938964844,289.8999938964844,20181500
2023-08-22,292.54998779296875,292.8999938964844,286.75,287.6000061035156,287.6000061035156,12999900
2023-08-23,288.5,297.3999938964844,287.6700134277344,294.239990234375,294.239990234375,18287000
2023-08-24,298.5,299.4599914550781,286.6400146484375,286.75,286.75,18360900
2023-08-25,286.1300048828125,288.3900146484375,276.0299987792969,285.5,285.5,23701400
2023-08-28,288.0,291.45001220703125,285.79998779296875,290.260009765625,290.260009765625,14239300
2023-08-29,288.5799865722656,299.1499938964844,288.17999267578125,297.989990234375,297.989990234375,20844500
2023-08-30,297.1700134277344,298.2900085449219,293.42999267578125,295.1000061035156,295.1000061035156,17717000
2023-08-31,295.79998779296875,301.1000061035156,295.6600036621094,295.8900146484375,295.8900146484375,17229900
2023-09-01,299.3699951171875,301.739990234375,294.4700012207031,296.3800048828125,296.3800048828125,12819800
2023-09-05,297.0199890136719,301.3900146484375,295.510009765625,300.1499938964844,300.1499938964844,14956000
2023-09-06,301.7099914550781,303.29998779296875,295.6600036621094,299.1700134277344,299.1700134277344,15418100
2023-09-07,298.0,307.04998779296875,292.2200012207031,298.6700134277344,298.6700134277344,33748700
2023-09-08,299.2200012207031,305.25,296.7799987792969,297.8900146484375,297.8900146484375,17548000
2023-09-11,301.4100036621094,309.0400085449219,301.2799987792969,307.55999755859375,307.55999755859375,19489300
2023-09-12,306.3299865722656,308.6600036621094,300.2300109863281,301.6600036621094,301.6600036621094,13480400
2023-09-13,302.3599853515625,307.17999267578125,301.32000732421875,305.05999755859375,305.05999755859375,13210900
2023-09-14,306.739990234375,312.8699951171875,305.0299987792969,311.7200012207031,311.7200012207031,19343100
2023-09-15,311.6099853515625,312.0,298.75,300.30999755859375,300.30999755859375,28106400
2023-09-18,298.19000244140625,303.6000061035156,297.79998779296875,302.54998779296875,302.54998779296875,14234200
2023-09-19,302.4800109863281,306.1700134277344,299.80999755859375,305.07000732421875,305.07000732421875,15924400
2023-09-20,305.04998779296875,308.05999755859375,299.42999267578125,299.6700134277344,299.6700134277344,19379500
2023-09-21,295.70001220703125,300.260009765625,293.2699890136719,295.7300109863281,295.7300109863281,21300500
2023-09-22,299.29998779296875,305.3800048828125,298.2699890136719,299.0799865722656,299.0799865722656,25369600
2023-09-25,295.6400146484375,300.95001220703125,293.70001220703125,300.8299865722656,300.8299865722656,18987000
2023-09-26,297.6600036621094,300.29998779296875,296.010009765625,298.9599914550781,298.9599914550781,19417200
2023-09-27,300.45001220703125,301.29998779296875,286.7900085449219,297.739990234375,297.739990234375,36429800
2023-09-28,298.94000244140625,306.3299865722656,296.70001220703125,303.9599914550781,303.9599914550781,22167100
2023-09-29,307.3800048828125,310.6400146484375,299.3599853515625,300.2099914550781,300.2099914550781,25356600
2023-10-02,302.739990234375,307.17999267578125,301.6300048828125,306.82000732421875,306.82000732421875,16265600
2023-10-03,304.260009765625,306.7699890136719,299.6400146484375,300.94000244140625,300.94000244140625,17362300
2023-10-04,298.7300109863281,306.8999938964844,298.5,305.5799865722656,305.5799865722656,16880500
2023-10-05,304.6300048828125,306.2099914550781,299.5,304.7900085449219,304.7900085449219,19130000
2023-10-06,301.44000244140625,316.30999755859375,300.9100036621094,315.42999267578125,315.42999267578125,21784000
2023-10-09,312.5,320.3299865722656,311.82000732421875,318.3599853515625,318.3599853515625,22503700
2023-10-10,319.1199951171875,324.6600036621094,318.1600036621094,321.8399963378906,321.8399963378906,19038000
2023-10-11,323.010009765625,328.8399963378906,322.95001220703125,327.82000732421875,327.82000732421875,22036300
2023-10-12,328.0,330.5400085449219,322.69000244140625,324.1600036621094,324.1600036621094,20530500
2023-10-13,323.5299987792969,325.04998779296875,312.3699951171875,314.69000244140625,314.69000244140625,21341000
2023-10-16,318.6400146484375,321.82000732421875,315.5199890136719,321.1499938964844,321.1499938964844,16536100
